deployment,endpoint,requests_target,timestamp,container,container_id,memory_original,memory_usage_mib,source_file
single,aggregation,1,2026-09-17T02:11:37.7511064Z,book-reviews-a4-static-1,69b93e454d61,24.54MiB / 15.17GiB,24.54,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:11:37.7511064Z,book-reviews-a4-db-1,ca43277e8356,49.77MiB / 15.17GiB,49.77,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:11:37.7511064Z,book-reviews-a4-redis-1,87235cf2e925,8.441MiB / 192MiB,8.441,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:11:37.7511064Z,book-reviews-a4-traefik-1,9848c97527b3,114MiB / 15.17GiB,114.0,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:11:37.7511064Z,book-reviews-a4-opensearch-1,48f7e9560c08,1.438GiB / 1.5GiB,1472.512,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:11:45.5383190Z,book-reviews-a4-web-1,a42d74844cf7,112.9MiB / 15.17GiB,112.9,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:11:45.5383190Z,book-reviews-a4-static-1,69b93e454d61,25.01MiB / 15.17GiB,25.01,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:11:45.5383190Z,book-reviews-a4-db-1,ca43277e8356,49.78MiB / 15.17GiB,49.78,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:11:45.5383190Z,book-reviews-a4-redis-1,87235cf2e925,8.035MiB / 192MiB,8.035,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:11:45.5383190Z,book-reviews-a4-traefik-1,9848c97527b3,114.1MiB / 15.17GiB,114.1,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:11:45.5383190Z,book-reviews-a4-opensearch-1,48f7e9560c08,1.438GiB / 1.5GiB,1472.512,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:11:53.1752837Z,book-reviews-a4-web-1,a42d74844cf7,112.6MiB / 15.17GiB,112.6,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:11:53.1752837Z,book-reviews-a4-static-1,69b93e454d61,28.49MiB / 15.17GiB,28.49,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:11:53.1752837Z,book-reviews-a4-db-1,ca43277e8356,49.29MiB / 15.17GiB,49.29,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:11:53.1752837Z,book-reviews-a4-redis-1,87235cf2e925,8.664MiB / 192MiB,8.664,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:11:53.1752837Z,book-reviews-a4-traefik-1,9848c97527b3,113.7MiB / 15.17GiB,113.7,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:11:53.1752837Z,book-reviews-a4-opensearch-1,48f7e9560c08,1.437GiB / 1.5GiB,1471.488,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:12:01.0120609Z,book-reviews-a4-web-1,a42d74844cf7,113MiB / 15.17GiB,113.0,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:12:01.0120609Z,book-reviews-a4-static-1,69b93e454d61,25.15MiB / 15.17GiB,25.15,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:12:01.0120609Z,book-reviews-a4-db-1,ca43277e8356,49.53MiB / 15.17GiB,49.53,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:12:01.0120609Z,book-reviews-a4-redis-1,87235cf2e925,8.348MiB / 192MiB,8.348,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:12:01.0120609Z,book-reviews-a4-traefik-1,9848c97527b3,113.2MiB / 15.17GiB,113.2,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:12:01.0120609Z,book-reviews-a4-opensearch-1,48f7e9560c08,1.438GiB / 1.5GiB,1472.512,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:12:08.8349895Z,book-reviews-a4-web-1,a42d74844cf7,112.8MiB / 15.17GiB,112.8,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:12:08.8349895Z,book-reviews-a4-static-1,69b93e454d61,24.83MiB / 15.17GiB,24.83,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:12:08.8349895Z,book-reviews-a4-db-1,ca43277e8356,49.55MiB / 15.17GiB,49.55,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:12:08.8349895Z,book-reviews-a4-redis-1,87235cf2e925,8.051MiB / 192MiB,8.051,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:12:08.8349895Z,book-reviews-a4-traefik-1,9848c97527b3,113.7MiB / 15.17GiB,113.7,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:12:08.8349895Z,book-reviews-a4-opensearch-1,48f7e9560c08,1.438GiB / 1.5GiB,1472.512,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:12:16.6936583Z,book-reviews-a4-web-1,a42d74844cf7,113.2MiB / 15.17GiB,113.2,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:12:16.6936583Z,book-reviews-a4-static-1,69b93e454d61,24.97MiB / 15.17GiB,24.97,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:12:16.6936583Z,book-reviews-a4-db-1,ca43277e8356,50.06MiB / 15.17GiB,50.06,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:12:16.6936583Z,book-reviews-a4-redis-1,87235cf2e925,8.629MiB / 192MiB,8.629,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:12:16.6936583Z,book-reviews-a4-traefik-1,9848c97527b3,114.3MiB / 15.17GiB,114.3,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:12:16.6936583Z,book-reviews-a4-opensearch-1,48f7e9560c08,1.437GiB / 1.5GiB,1471.488,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:12:24.2839562Z,book-reviews-a4-web-1,a42d74844cf7,113MiB / 15.17GiB,113.0,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:12:24.2839562Z,book-reviews-a4-static-1,69b93e454d61,25.26MiB / 15.17GiB,25.26,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:12:24.2839562Z,book-reviews-a4-db-1,ca43277e8356,49.33MiB / 15.17GiB,49.33,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:12:24.2839562Z,book-reviews-a4-redis-1,87235cf2e925,8.012MiB / 192MiB,8.012,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:12:24.2839562Z,book-reviews-a4-traefik-1,9848c97527b3,114MiB / 15.17GiB,114.0,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:12:24.2839562Z,book-reviews-a4-opensearch-1,48f7e9560c08,1.437GiB / 1.5GiB,1471.488,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:12:32.2144318Z,book-reviews-a4-web-1,a42d74844cf7,113.2MiB / 15.17GiB,113.2,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:12:32.2144318Z,book-reviews-a4-static-1,69b93e454d61,24.52MiB / 15.17GiB,24.52,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:12:32.2144318Z,book-reviews-a4-db-1,ca43277e8356,49.54MiB / 15.17GiB,49.54,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:12:32.2144318Z,book-reviews-a4-redis-1,87235cf2e925,8.27MiB / 192MiB,8.27,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:12:32.2144318Z,book-reviews-a4-traefik-1,9848c97527b3,113.8MiB / 15.17GiB,113.8,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:12:32.2144318Z,book-reviews-a4-opensearch-1,48f7e9560c08,1.438GiB / 1.5GiB,1472.512,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:12:40.0945214Z,book-reviews-a4-web-1,a42d74844cf7,118.9MiB / 15.17GiB,118.9,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:12:40.0945214Z,book-reviews-a4-static-1,69b93e454d61,24.52MiB / 15.17GiB,24.52,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:12:40.0945214Z,book-reviews-a4-db-1,ca43277e8356,49.57MiB / 15.17GiB,49.57,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:12:40.0945214Z,book-reviews-a4-redis-1,87235cf2e925,8.211MiB / 192MiB,8.211,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:12:40.0945214Z,book-reviews-a4-traefik-1,9848c97527b3,114.2MiB / 15.17GiB,114.2,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:12:40.0945214Z,book-reviews-a4-opensearch-1,48f7e9560c08,1.438GiB / 1.5GiB,1472.512,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:12:47.9333102Z,book-reviews-a4-web-1,a42d74844cf7,112.7MiB / 15.17GiB,112.7,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:12:47.9333102Z,book-reviews-a4-static-1,69b93e454d61,24.44MiB / 15.17GiB,24.44,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:12:47.9333102Z,book-reviews-a4-db-1,ca43277e8356,49.57MiB / 15.17GiB,49.57,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:12:47.9333102Z,book-reviews-a4-redis-1,87235cf2e925,9.102MiB / 192MiB,9.102,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
single,aggregation,1,2026-09-17T02:12:47.9333102Z,book-reviews-a4-traefik-1,9848c97527b3,113.5MiB / 15.17GiB,113.5,results/matrix-20260916-2305/full-aggregation-1/containers.jsonl
